3575,sand dollar,115,534,2020-09-06 21:56:47.028
9537,pocket wish,49000,45,2020-09-06 22:02:23.418
3327,extra-greasy slider,30000,19,2020-09-06 22:15:11.238
10259,grain of sand,100,15,2020-09-06 22:21:35.731
3575,sand dollar,111,2,2020-09-06 22:21:57.406
9537,pocket wish,49949,6,2020-09-06 22:57:40.719
4622,Game Grid ticket,700,1.0,2020-09-06 23:36:25.922
8763,BACON,195,2.0,2020-09-06 23:36:34.437
9924,Special Seasoning,1499,1.0,2020-09-06 23:36:36.319
3575,sand dollar,100,1.0,2020-09-06 23:36:48.243
8763,BACON,200,2.0,2020-09-06 23:37:41.732
3575,sand dollar,111,11.0,2020-09-06 23:37:55.254
9537,pocket wish,49900,3,2020-09-06 23:53:21.725
9537,pocket wish,49900,3,2020-09-07 00:27:20.540
9537,pocket wish,49000,3,2020-09-07 00:35:59.503
9537,pocket wish,49900,3,2020-09-07 01:09:02.179
8763,BACON,184,100,2020-09-07 01:11:17.422
8738,perfect negroni,4099,74,2020-09-07 09:09:14.258
8486,one-day ticket to That 70s Volcano,250000,1,2020-09-07 09:09:16.434
8486,one-day ticket to That 70s Volcano,250000,3,2020-09-07 09:10:19.185
3324,Frosty's frosty mug,31410,2.0,2020-09-07 09:10:36.436
8763,BACON,190,100,2020-09-07 09:12:23.260
9537,pocket wish,49750,12,2020-09-07 09:15:23.791
9537,pocket wish,49900,2,2020-09-07 09:36:37.970
8763,BACON,100,2.0,2020-09-07 09:53:00.553
9537,pocket wish,49900,3,2020-09-07 10:57:38.035
9537,pocket wish,49900,10,2020-09-07 11:44:54.996
8763,BACON,233,107,2020-09-07 12:16:18.483
8763,BACON,233,107,2020-09-07 12:50:10.578
9537,pocket wish,49900,1,2020-09-07 13:26:23.317
8686,perfect ice cube,3100,1,2020-09-07 13:34:09.746
8763,BACON,195,100,2020-09-07 13:39:12.160
10259,grain of sand,100,62,2020-09-07 13:44:26.510
9537,pocket wish,49900,6,2020-09-07 13:56:06.758
10259,grain of sand,100,27,2020-09-07 14:04:52.400
9537,pocket wish,49500,21,2020-09-07 14:37:26.956
9537,pocket wish,49900,3,2020-09-07 14:46:18.440
8686,perfect ice cube,3100,1,2020-09-07 14:53:47.381
9537,pocket wish,49900,6,2020-09-07 15:32:48.431
8686,perfect ice cube,3300,2,2020-09-07 16:33:58.702
9537,pocket wish,49500,3,2020-09-07 17:00:41.950
3324,Frosty's frosty mug,30950,49,2020-09-07 17:30:44.226
10259,grain of sand,100,23,2020-09-07 19:05:00.853
9537,pocket wish,49900,3,2020-09-07 19:51:46.239
1006,cherry,800,1,2020-09-07 19:51:54.268
3440,prismatic wad,9500,9,2020-09-07 19:51:55.431
9537,pocket wish,49901,3,2020-09-07 19:52:42.572
10259,grain of sand,100,12,2020-09-07 20:25:39.983
9537,pocket wish,49500,15,2020-09-07 21:42:42.215
10259,grain of sand,123,9,2020-09-07 22:16:21.003
8739,perfect dark and stormy,3090,9,2020-09-07 22:42:57.550
8737,perfect cosmopolitan,3090,4,2020-09-07 22:43:03.898
3325,jar of fermented pickle juice,41190,18,2020-09-07 22:49:26.846
4622,Game Grid ticket,700,1.0,2020-09-07 23:36:18.978
8763,BACON,195,2.0,2020-09-07 23:36:25.937
9924,Special Seasoning,1499,1.0,2020-09-07 23:36:27.380
8763,BACON,200,2.0,2020-09-07 23:37:16.085
9537,pocket wish,49900,3,2020-09-07 23:39:45.964
8686,perfect ice cube,3100,1,2020-09-07 23:52:20.634
10259,grain of sand,100,195,2020-09-08 00:51:01.423
8763,BACON,184,100,2020-09-08 01:10:54.846
9537,pocket wish,49901,3,2020-09-08 02:11:21.015
10259,grain of sand,100,784,2020-09-08 02:24:00.518
9537,pocket wish,49900,3,2020-09-08 02:50:15.428
9537,pocket wish,49900,3,2020-09-08 03:03:11.900
346,scrumptious reagent,150,1.0,2020-09-08 04:35:23.945
8763,BACON,190,100,2020-09-08 08:19:15.799
9537,pocket wish,49500,50,2020-09-08 08:20:54.200
8763,BACON,100,2.0,2020-09-08 08:49:13.096
9537,pocket wish,49900,4,2020-09-08 08:50:54.687
10259,grain of sand,100,21,2020-09-08 10:59:20.743
8763,BACON,233,106,2020-09-08 12:26:45.582
9537,pocket wish,49900,3,2020-09-08 12:46:21.338
9537,pocket wish,49875,100,2020-09-08 12:50:23.607
8763,BACON,233,106,2020-09-08 12:57:38.259
8763,BACON,240,100,2020-09-08 13:13:28.566
9537,pocket wish,49420,12,2020-09-08 13:13:29.527
9537,pocket wish,49900,4,2020-09-08 13:18:42.944
9924,Special Seasoning,1200,10,2020-09-08 13:18:44.373
8763,BACON,245,308,2020-09-08 13:54:46.631
10259,grain of sand,100,34,2020-09-08 14:04:33.443
9537,pocket wish,49500,3,2020-09-08 14:11:06.137
194,Mr. Accessory,53000000,1,2020-09-08 14:17:11.505
9537,pocket wish,49900,3,2020-09-08 14:19:45.425
9537,pocket wish,49900,9,2020-09-08 14:54:01.796
9537,pocket wish,49900,3,2020-09-08 15:05:17.325
194,Mr. Accessory,54000000,1,2020-09-08 16:57:45.332
194,Mr. Accessory,54000000,1,2020-09-08 16:57:46.057
6311,Uncle Buck,5400000,6,2020-09-08 17:09:16.293
10259,grain of sand,100,165,2020-09-08 17:56:54.308
8763,BACON,200,100,2020-09-08 17:57:08.843
304,dry noodles,200,5,2020-09-08 19:56:19.133
10259,grain of sand,123,7,2020-09-08 20:08:45.969
9537,pocket wish,49000,3,2020-09-08 20:15:45.843
10259,grain of sand,100,7,2020-09-08 20:37:56.776
9537,pocket wish,49900,3,2020-09-08 20:38:03.278
3440,prismatic wad,9500,3,2020-09-08 20:38:11.026
8686,perfect ice cube,3100,1,2020-09-08 20:38:13.168
7370,Psychotic Train wine,222,1.0,2020-09-08 21:22:50.028
10259,grain of sand,100,18,2020-09-08 21:24:27.141
7004,Flaskfull of Hollow,600,3,2020-09-08 23:17:24.083
4622,Game Grid ticket,700,1.0,2020-09-08 23:36:08.364
8763,BACON,200,2.0,2020-09-08 23:36:14.995
